Iteration,Character,Prev_Position,New_Position,Steps,Result
3,Heroe,2,3,3,0
3,Bruja,6,7,1,0
3,Heroe,5,6,3,0
3,Bruja,7,15,1,0
3,Heroe,6,5,1,0
3,Bruja,15,22,1,0
3,Heroe,3,2,3,0
3,Bruja,22,29,1,0
3,Heroe,2,2,0,0
3,Bruja,29,30,1,0
3,Heroe,2,2,0,0
3,Bruja,30,27,1,0
3,Bruja,27,27,0,1
4,Heroe,5,6,1,0
4,Bruja,0,1,1,0
4,Heroe,16,20,3,0
4,Bruja,1,2,1,0
4,Heroe,39,41,2,0
4,Bruja,2,3,1,0
4,Heroe,41,41,0,0
4,Bruja,3,5,2,0
4,Heroe,36,35,3,0
4,Bruja,5,6,1,0
4,Heroe,35,36,1,0
4,Bruja,6,8,2,0
4,Heroe,36,35,1,0
4,Bruja,8,9,1,0
4,Heroe,32,34,3,0
4,Bruja,9,10,1,0
4,Heroe,34,36,1,0
4,Bruja,10,11,1,0
4,Heroe,36,34,1,0
4,Bruja,11,12,1,0
4,Heroe,34,36,1,0
4,Bruja,12,13,1,0
4,Heroe,41,37,3,0
4,Bruja,13,23,1,0
4,Bruja,23,23,0,1
5,Heroe,5,5,0,0
5,Bruja,0,1,1,0
5,Heroe,5,5,0,0
5,Bruja,1,2,1,0
5,Heroe,5,4,1,0
5,Bruja,2,3,1,0
5,Heroe,3,2,2,0
5,Bruja,3,4,1,0
5,Heroe,2,3,1,0
5,Bruja,4,5,1,0
5,Heroe,3,2,1,0
5,Bruja,5,6,1,0
5,Heroe,1,0,3,0
5,Bruja,6,7,1,0
5,Heroe,0,1,1,0
5,Bruja,7,8,1,0
5,Heroe,1,0,3,0
5,Bruja,8,9,1,0
5,Heroe,1,2,2,0
5,Bruja,9,10,1,0
5,Heroe,2,2,0,0
5,Bruja,10,10,0,0
5,Heroe,1,0,3,0
5,Bruja,10,12,2,0
5,Heroe,1,2,2,0
5,Bruja,12,13,1,0
5,Heroe,2,2,0,0
5,Bruja,13,13,0,0
5,Heroe,1,0,3,0
5,Bruja,13,23,2,0
5,Bruja,23,23,0,1
6,Heroe,5,4,1,0
6,Bruja,0,0,0,0
6,Heroe,2,1,3,0
6,Bruja,0,0,0,0
6,Heroe,1,0,2,0
6,Bruja,0,1,1,0
6,Heroe,0,1,1,0
6,Bruja,1,2,1,0
6,Heroe,1,0,1,0
6,Bruja,2,3,1,0
6,Heroe,0,1,1,0
6,Bruja,3,3,0,0
6,Heroe,3,4,3,0
6,Bruja,3,5,2,0
6,Heroe,4,3,1,0
6,Bruja,5,6,1,0
6,Heroe,3,3,0,0
6,Bruja,6,7,1,0
6,Heroe,3,2,1,0
6,Bruja,7,7,0,0
6,Heroe,1,0,3,0
6,Bruja,7,7,0,0
6,Heroe,1,2,2,0
6,Bruja,7,8,1,0
6,Heroe,2,1,1,0
6,Bruja,8,9,1,0
6,Heroe,1,0,1,0
6,Bruja,9,9,0,0
6,Heroe,0,0,0,0
6,Bruja,9,9,0,0
6,Heroe,2,3,3,0
6,Bruja,9,10,1,0
6,Heroe,1,0,3,0
6,Bruja,10,11,1,0
6,Heroe,1,2,2,0
6,Bruja,11,12,1,0
6,Heroe,3,4,2,0
6,Bruja,12,12,0,0
6,Heroe,5,6,2,0
6,Bruja,12,13,1,0
6,Heroe,6,7,1,0
6,Bruja,13,23,1,0
6,Bruja,23,23,0,1
7,Heroe,7,15,3,0
7,Bruja,0,1,1,0
7,Heroe,22,29,2,0
7,Bruja,1,2,1,0
7,Heroe,27,30,3,0
7,Bruja,2,3,1,0
7,Heroe,30,30,0,0
7,Bruja,3,4,1,0
7,Heroe,30,30,0,0
7,Bruja,4,6,2,0
7,Heroe,30,32,2,0
7,Heroe,32,32,0,1
8,Heroe,5,5,0,0
8,Bruja,0,1,1,0
8,Heroe,5,6,1,0
8,Bruja,1,1,0,0
8,Heroe,15,21,3,0
8,Bruja,1,2,1,0
8,Heroe,14,9,3,0
8,Bruja,2,3,1,0
8,Heroe,9,14,1,0
8,Bruja,3,5,2,0
8,Heroe,14,15,1,0
8,Bruja,5,6,1,0
8,Heroe,9,10,3,0
8,Bruja,6,6,0,0
8,Heroe,12,13,3,0
8,Bruja,6,6,0,0
8,Heroe,26,27,3,0
8,Bruja,6,8,2,0
8,Heroe,27,27,0,0
8,Bruja,8,10,2,0
8,Heroe,27,28,1,0
8,Bruja,10,11,1,0
8,Heroe,28,29,1,0
8,Bruja,11,12,1,0
8,Heroe,29,30,1,0
8,Bruja,12,13,1,0
8,Heroe,30,30,0,0
8,Bruja,13,23,1,0
8,Bruja,23,23,0,1
9,Heroe,6,7,2,0
9,Bruja,0,0,0,0
9,Heroe,9,14,3,0
9,Bruja,0,1,1,0
9,Heroe,14,9,1,0
9,Bruja,1,3,2,0
9,Heroe,9,10,1,0
9,Bruja,3,4,1,0
9,Heroe,10,11,1,0
9,Bruja,4,5,1,0
9,Heroe,22,15,3,0
9,Bruja,5,6,1,0
9,Heroe,21,20,2,0
9,Bruja,6,7,1,0
9,Heroe,7,15,3,0
9,Bruja,7,7,0,0
9,Heroe,15,7,1,0
9,Bruja,7,8,1,0
9,Heroe,15,22,2,0
9,Bruja,8,9,1,0
9,Heroe,22,22,0,0
9,Bruja,9,10,1,0
9,Heroe,22,15,1,0
9,Bruja,10,11,1,0
9,Heroe,38,37,3,0
9,Bruja,11,13,2,0
9,Heroe,22,29,3,0
9,Bruja,13,13,0,0
9,Heroe,29,29,0,0
9,Bruja,13,23,1,0
9,Bruja,23,23,0,1
10,Heroe,4,3,2,0
10,Bruja,0,2,2,0
10,Heroe,5,6,3,0
10,Bruja,2,3,1,0
10,Heroe,7,15,2,0
10,Bruja,3,4,1,0
10,Heroe,15,14,1,0
10,Bruja,4,5,1,0
10,Heroe,14,9,1,0
10,Bruja,5,6,1,0
10,Heroe,9,8,1,0
10,Bruja,6,7,1,0
10,Heroe,8,8,0,0
10,Bruja,7,22,2,0
10,Heroe,6,5,3,0
10,Bruja,22,29,1,0
10,Heroe,7,16,3,0
10,Bruja,29,30,1,0
10,Heroe,7,6,2,0
10,Bruja,30,27,1,0
10,Bruja,27,27,0,1
11,Heroe,5,4,1,0
11,Bruja,0,1,1,0
11,Heroe,4,4,0,0
11,Bruja,1,2,1,0
11,Heroe,4,3,1,0
11,Bruja,2,2,0,0
11,Heroe,1,0,3,0
11,Bruja,2,3,1,0
11,Heroe,0,1,1,0
11,Bruja,3,4,1,0
11,Heroe,1,1,0,0
11,Bruja,4,5,1,0
11,Heroe,1,0,1,0
11,Bruja,5,6,1,0
11,Heroe,2,3,3,0
11,Bruja,6,6,0,0
11,Heroe,3,3,0,0
11,Bruja,6,7,1,0
11,Heroe,3,4,1,0
11,Bruja,7,8,1,0
11,Heroe,4,4,0,0
11,Bruja,8,9,1,0
11,Heroe,4,3,1,0
11,Bruja,9,10,1,0
11,Heroe,3,3,0,0
11,Bruja,10,10,0,0
11,Heroe,5,6,3,0
11,Bruja,10,11,1,0
11,Heroe,7,15,2,0
11,Bruja,11,12,1,0
11,Heroe,22,38,2,0
11,Bruja,12,13,1,0
11,Heroe,29,28,3,0
11,Bruja,13,23,1,0
11,Bruja,23,23,0,1
12,Heroe,5,4,1,0
12,Bruja,0,1,1,0
12,Heroe,3,2,2,0
12,Bruja,1,2,1,0
12,Heroe,2,2,0,0
12,Bruja,2,3,1,0
12,Heroe,4,5,3,0
12,Bruja,3,5,2,0
12,Heroe,7,15,3,0
12,Bruja,5,6,1,0
12,Heroe,20,16,3,0
12,Bruja,6,7,1,0
12,Heroe,19,18,3,0
12,Bruja,7,22,2,0
12,Heroe,16,7,3,0
12,Bruja,22,29,1,0
12,Heroe,17,18,3,0
12,Bruja,29,30,1,0
12,Heroe,41,40,2,0
12,Bruja,30,27,1,0
12,Bruja,27,27,0,1
13,Heroe,5,5,0,0
13,Bruja,0,1,1,0
13,Heroe,6,7,2,0
13,Bruja,1,2,1,0
13,Heroe,7,16,1,0
13,Bruja,2,3,1,0
13,Heroe,15,14,3,0
13,Bruja,3,4,1,0
13,Heroe,8,7,3,0
13,Bruja,4,4,0,0
13,Heroe,7,6,1,0
13,Bruja,4,5,1,0
13,Heroe,6,6,0,0
13,Bruja,5,5,0,0
13,Heroe,6,7,1,0
13,Bruja,5,6,1,0
13,Heroe,7,16,1,0
13,Bruja,6,7,1,0
13,Heroe,19,18,3,0
13,Bruja,7,8,1,0
13,Heroe,18,17,1,0
13,Bruja,8,9,1,0
13,Heroe,17,18,1,0
13,Bruja,9,10,1,0
13,Heroe,18,18,0,0
13,Bruja,10,11,1,0
13,Heroe,18,17,1,0
13,Bruja,11,11,0,0
13,Heroe,17,17,0,0
13,Bruja,11,11,0,0
13,Heroe,16,7,2,0
13,Bruja,11,12,1,0
13,Heroe,21,20,3,0
13,Bruja,12,13,1,0
13,Heroe,15,22,3,0
13,Bruja,13,23,1,0
13,Bruja,23,23,0,1
14,Heroe,3,2,3,0
14,Bruja,0,2,2,0
14,Heroe,4,5,3,0
14,Bruja,2,4,2,0
14,Heroe,5,5,0,0
14,Bruja,4,5,1,0
14,Heroe,7,16,3,0
14,Bruja,5,6,1,0
14,Heroe,17,18,2,0
14,Bruja,6,7,1,0
14,Heroe,16,7,3,0
14,Bruja,7,15,1,0
14,Heroe,7,7,0,0
14,Bruja,15,15,0,0
14,Heroe,7,6,1,0
14,Bruja,15,22,1,0
14,Heroe,7,15,2,0
14,Bruja,22,22,0,0
14,Heroe,15,7,1,0
14,Bruja,22,22,0,0
14,Heroe,7,16,1,0
14,Bruja,22,29,1,0
14,Heroe,18,41,3,0
14,Bruja,29,30,1,0
14,Heroe,39,20,2,0
14,Bruja,30,32,1,0
14,Bruja,32,32,0,1
15,Heroe,4,3,2,0
15,Bruja,0,1,1,0
15,Heroe,1,0,3,0
15,Bruja,1,2,1,0
15,Heroe,0,1,1,0
15,Bruja,2,3,1,0
15,Heroe,1,0,2,0
15,Bruja,3,4,1,0
15,Heroe,0,1,1,0
15,Bruja,4,5,1,0
15,Heroe,3,4,3,0
15,Bruja,5,6,1,0
15,Heroe,6,7,3,0
15,Bruja,6,7,1,0
15,Heroe,7,7,0,0
15,Bruja,7,15,1,0
15,Heroe,8,9,2,0
15,Bruja,15,29,2,0
15,Heroe,11,12,3,0
15,Bruja,29,32,2,0
15,Bruja,32,32,0,1
16,Heroe,7,15,3,0
16,Bruja,0,1,1,0
16,Heroe,14,9,2,0
16,Bruja,1,1,0,0
16,Heroe,9,14,1,0
16,Bruja,1,2,1,0
16,Heroe,14,14,0,0
16,Bruja,2,4,2,0
16,Heroe,14,15,1,0
16,Bruja,4,5,1,0
16,Heroe,10,11,3,0
16,Bruja,5,6,1,0
16,Heroe,12,13,2,0
16,Bruja,6,8,2,0
16,Heroe,12,11,2,0
16,Bruja,8,9,1,0
16,Heroe,10,9,2,0
16,Bruja,9,9,0,0
16,Heroe,7,6,3,0
16,Bruja,9,10,1,0
16,Heroe,4,3,3,0
16,Bruja,10,11,1,0
16,Heroe,3,2,1,0
16,Bruja,11,12,1,0
16,Heroe,1,0,3,0
16,Bruja,12,13,1,0
16,Heroe,0,1,1,0
16,Bruja,13,13,0,0
16,Heroe,1,0,1,0
16,Bruja,13,23,1,0
16,Bruja,23,23,0,1
17,Heroe,7,16,3,0
17,Bruja,0,0,0,0
17,Heroe,16,17,1,0
17,Bruja,0,1,1,0
17,Heroe,17,17,0,0
17,Bruja,1,2,1,0
17,Heroe,17,18,1,0
17,Bruja,2,3,1,0
17,Heroe,18,19,1,0
17,Bruja,3,4,1,0
17,Heroe,41,37,3,0
17,Bruja,4,6,2,0
17,Heroe,37,37,0,0
17,Bruja,6,7,1,0
17,Heroe,34,36,3,0
17,Bruja,7,15,1,0
17,Heroe,36,35,1,0
17,Bruja,15,22,1,0
17,Heroe,35,35,0,0
17,Bruja,22,29,1,0
17,Heroe,33,32,2,0
17,Bruja,29,30,1,0
17,Heroe,31,37,3,0
17,Bruja,30,27,1,0
17,Bruja,27,27,0,1
18,Heroe,5,6,1,0
18,Bruja,0,1,1,0
18,Heroe,6,5,1,0
18,Bruja,1,2,1,0
18,Heroe,5,6,1,0
18,Bruja,2,3,1,0
18,Heroe,5,4,2,0
18,Bruja,3,4,1,0
18,Heroe,5,6,2,0
18,Bruja,4,5,1,0
18,Heroe,4,3,3,0
18,Bruja,5,7,2,0
18,Heroe,3,4,1,0
18,Bruja,7,9,2,0
18,Heroe,3,2,2,0
18,Bruja,9,9,0,0
18,Heroe,2,3,1,0
18,Bruja,9,10,1,0
18,Heroe,3,4,1,0
18,Bruja,10,11,1,0
18,Heroe,4,3,1,0
18,Bruja,11,12,1,0
18,Heroe,3,2,1,0
18,Bruja,12,13,1,0
18,Heroe,2,1,1,0
18,Bruja,13,23,1,0
18,Bruja,23,23,0,1
19,Heroe,3,2,3,0
19,Bruja,0,2,2,0
19,Heroe,3,4,2,0
19,Bruja,2,3,1,0
19,Heroe,4,4,0,0
19,Bruja,3,5,2,0
19,Heroe,4,5,1,0
19,Bruja,5,6,1,0
19,Heroe,5,5,0,0
19,Bruja,6,7,1,0
19,Heroe,5,4,1,0
19,Bruja,7,22,2,0
19,Heroe,2,1,3,0
19,Bruja,22,29,1,0
19,Heroe,3,4,3,0
19,Bruja,29,30,1,0
19,Heroe,4,5,1,0
19,Bruja,30,27,1,0
19,Bruja,27,27,0,1
20,Heroe,4,3,2,0
20,Bruja,0,1,1,0
20,Heroe,1,0,3,0
20,Bruja,1,1,0,0
20,Heroe,2,3,3,0
20,Bruja,1,1,0,0
20,Heroe,1,0,3,0
20,Bruja,1,1,0,0
20,Heroe,1,2,2,0
20,Bruja,1,2,1,0
20,Heroe,2,2,0,0
20,Bruja,2,2,0,0
20,Heroe,1,0,3,0
20,Bruja,2,3,1,0
20,Heroe,0,0,0,0
20,Bruja,3,4,1,0
20,Heroe,1,2,2,0
20,Bruja,4,4,0,0
20,Heroe,2,2,0,0
20,Bruja,4,5,1,0
20,Heroe,2,1,1,0
20,Bruja,5,5,0,0
20,Heroe,2,3,2,0
20,Bruja,5,6,1,0
20,Heroe,2,1,2,0
20,Bruja,6,15,2,0
20,Heroe,1,0,2,0
20,Bruja,15,22,1,0
20,Heroe,0,1,1,0
20,Bruja,22,22,0,0
20,Heroe,1,0,1,0
20,Bruja,22,29,1,0
20,Heroe,1,2,2,0
20,Bruja,29,30,1,0
20,Heroe,1,0,3,0
20,Bruja,30,32,1,0
20,Bruja,32,32,0,1
21,Heroe,6,7,2,0
21,Bruja,0,1,1,0
21,Heroe,14,9,3,0
21,Bruja,1,2,1,0
21,Heroe,7,16,3,0
21,Bruja,2,4,2,0
21,Heroe,17,18,2,0
21,Bruja,4,5,1,0
21,Heroe,18,41,1,0
21,Bruja,5,6,1,0
21,Heroe,41,37,1,0
21,Bruja,6,7,1,0
21,Heroe,37,37,0,0
21,Bruja,7,15,1,0
21,Heroe,18,19,3,0
21,Bruja,15,29,2,0
21,Heroe,19,19,0,0
21,Bruja,29,30,1,0
21,Heroe,21,15,3,0
21,Bruja,30,32,1,0
21,Bruja,32,32,0,1
22,Heroe,5,6,1,0
22,Bruja,0,2,2,0
22,Heroe,4,3,3,0
22,Bruja,2,3,1,0
22,Heroe,3,4,1,0
22,Bruja,3,4,1,0
22,Heroe,4,3,1,0
22,Bruja,4,5,1,0
22,Heroe,3,4,1,0
22,Bruja,5,6,1,0
22,Heroe,4,5,1,0
22,Bruja,6,7,1,0
22,Heroe,4,3,2,0
22,Bruja,7,22,2,0
22,Heroe,3,3,0,0
22,Bruja,22,22,0,0
22,Heroe,5,6,3,0
22,Bruja,22,22,0,0
22,Heroe,6,6,0,0
22,Bruja,22,29,1,0
22,Heroe,6,5,1,0
22,Bruja,29,30,1,0
22,Heroe,5,5,0,0
22,Bruja,30,30,0,0
22,Heroe,7,8,3,0
22,Bruja,30,30,0,0
22,Heroe,8,9,1,0
22,Bruja,30,27,2,0
22,Bruja,27,27,0,1
23,Heroe,5,4,1,0
23,Bruja,0,2,2,0
23,Heroe,4,5,1,0
23,Bruja,2,3,1,0
23,Heroe,3,2,3,0
23,Bruja,3,4,1,0
23,Heroe,1,0,2,0
23,Bruja,4,5,1,0
23,Heroe,1,2,2,0
23,Bruja,5,6,1,0
23,Heroe,2,2,0,0
23,Bruja,6,6,0,0
23,Heroe,1,0,3,0
23,Bruja,6,7,1,0
23,Heroe,1,2,2,0
23,Bruja,7,8,1,0
23,Heroe,1,0,2,0
23,Bruja,8,9,1,0
23,Heroe,2,3,3,0
23,Bruja,9,10,1,0
23,Heroe,1,0,3,0
23,Bruja,10,11,1,0
23,Heroe,0,0,0,0
23,Bruja,11,12,1,0
23,Heroe,0,1,1,0
23,Bruja,12,13,1,0
23,Heroe,3,4,3,0
23,Bruja,13,23,1,0
23,Bruja,23,23,0,1
24,Heroe,7,8,3,0
24,Bruja,0,1,1,0
24,Heroe,8,9,1,0
24,Bruja,1,1,0,0
24,Heroe,9,9,0,0
24,Bruja,1,3,2,0
24,Heroe,9,9,0,0
24,Bruja,3,4,1,0
24,Heroe,9,14,1,0
24,Bruja,4,5,1,0
24,Heroe,9,8,2,0
24,Bruja,5,7,2,0
24,Heroe,10,11,3,0
24,Bruja,7,22,2,0
24,Heroe,11,12,1,0
24,Bruja,22,30,2,0
24,Heroe,12,11,1,0
24,Bruja,30,27,1,0
24,Bruja,27,27,0,1
25,Heroe,5,4,1,0
25,Bruja,0,1,1,0
25,Heroe,4,3,1,0
25,Bruja,1,2,1,0
25,Heroe,3,2,1,0
25,Bruja,2,3,1,0
25,Heroe,4,5,3,0
25,Bruja,3,4,1,0
25,Heroe,6,7,2,0
25,Bruja,4,5,1,0
25,Heroe,14,9,3,0
25,Bruja,5,6,1,0
25,Heroe,15,22,3,0
25,Bruja,6,6,0,0
25,Heroe,37,41,3,0
25,Bruja,6,7,1,0
25,Heroe,41,41,0,0
25,Bruja,7,22,2,0
25,Heroe,41,40,1,0
25,Bruja,22,22,0,0
25,Heroe,36,34,2,0
25,Bruja,22,29,1,0
25,Heroe,35,33,3,0
25,Bruja,29,30,1,0
25,Heroe,33,35,1,0
25,Bruja,30,27,1,0
25,Bruja,27,27,0,1
26,Heroe,7,8,3,0
26,Bruja,0,1,1,0
26,Heroe,8,7,1,0
26,Bruja,1,3,2,0
26,Heroe,7,8,1,0
26,Bruja,3,4,1,0
26,Heroe,8,7,1,0
26,Bruja,4,4,0,0
26,Heroe,7,7,0,0
26,Bruja,4,6,2,0
26,Heroe,7,16,1,0
26,Bruja,6,7,1,0
26,Heroe,16,16,0,0
26,Bruja,7,22,2,0
26,Heroe,16,20,1,0
26,Bruja,22,30,2,0
26,Heroe,19,18,2,0
26,Bruja,30,27,1,0
26,Bruja,27,27,0,1
27,Heroe,5,6,1,0
27,Bruja,0,1,1,0
27,Heroe,8,9,3,0
27,Bruja,1,2,1,0
27,Heroe,9,10,1,0
27,Bruja,2,3,1,0
27,Heroe,10,11,1,0
27,Bruja,3,5,2,0
27,Heroe,11,10,1,0
27,Bruja,5,7,2,0
27,Heroe,10,9,1,0
27,Bruja,7,7,0,0
27,Heroe,9,8,1,0
27,Bruja,7,9,2,0
27,Heroe,8,9,1,0
27,Bruja,9,10,1,0
27,Heroe,22,15,3,0
27,Bruja,10,11,1,0
27,Heroe,15,15,0,0
27,Bruja,11,11,0,0
27,Heroe,15,14,1,0
27,Bruja,11,12,1,0
27,Heroe,22,10,3,0
27,Bruja,12,13,1,0
27,Heroe,12,13,3,0
27,Bruja,13,23,1,0
27,Bruja,23,23,0,1
28,Heroe,3,2,3,0
28,Bruja,0,0,0,0
28,Heroe,3,4,2,0
28,Bruja,0,1,1,0
28,Heroe,4,4,0,0
28,Bruja,1,2,1,0
28,Heroe,2,1,3,0
28,Bruja,2,4,2,0
28,Heroe,1,2,1,0
28,Bruja,4,5,1,0
28,Heroe,2,2,0,0
28,Bruja,5,7,2,0
28,Heroe,2,2,0,0
28,Bruja,7,9,2,0
28,Heroe,2,1,1,0
28,Bruja,9,10,1,0
28,Heroe,2,3,2,0
28,Bruja,10,11,1,0
28,Heroe,3,3,0,0
28,Bruja,11,11,0,0
28,Heroe,3,4,1,0
28,Bruja,11,12,1,0
28,Heroe,6,7,3,0
28,Bruja,12,13,1,0
28,Heroe,5,4,3,0
28,Bruja,13,23,1,0
28,Bruja,23,23,0,1
29,Heroe,5,4,1,0
29,Bruja,0,1,1,0
29,Heroe,4,4,0,0
29,Bruja,1,2,1,0
29,Heroe,4,4,0,0
29,Bruja,2,3,1,0
29,Heroe,4,5,1,0
29,Bruja,3,4,1,0
29,Heroe,5,6,1,0
29,Bruja,4,6,2,0
29,Heroe,4,3,3,0
29,Bruja,6,7,1,0
29,Heroe,4,5,2,0
29,Bruja,7,15,1,0
29,Heroe,6,7,2,0
29,Bruja,15,22,1,0
29,Heroe,7,7,0,0
29,Bruja,22,30,2,0
29,Heroe,7,7,0,0
29,Bruja,30,27,1,0
29,Bruja,27,27,0,1
30,Heroe,5,4,1,0
30,Bruja,0,1,1,0
30,Heroe,3,2,2,0
30,Bruja,1,3,2,0
30,Heroe,2,3,1,0
30,Bruja,3,3,0,0
30,Heroe,1,0,3,0
30,Bruja,3,5,2,0
30,Heroe,1,2,2,0
30,Bruja,5,7,2,0
30,Heroe,3,4,2,0
30,Bruja,7,8,1,0
30,Heroe,6,7,3,0
30,Bruja,8,9,1,0
30,Heroe,7,7,0,0
30,Bruja,9,10,1,0
30,Heroe,8,9,2,0
30,Bruja,10,11,1,0
30,Heroe,7,15,3,0
30,Bruja,11,12,1,0
30,Heroe,22,29,2,0
30,Bruja,12,23,2,0
30,Bruja,23,23,0,1
31,Heroe,3,2,3,0
31,Bruja,0,1,1,0
31,Heroe,2,1,1,0
31,Bruja,1,1,0,0
31,Heroe,1,0,3,0
31,Bruja,1,3,2,0
31,Heroe,2,3,3,0
31,Bruja,3,3,0,0
31,Heroe,5,6,3,0
31,Bruja,3,4,1,0
31,Heroe,6,6,0,0
31,Bruja,4,5,1,0
31,Heroe,5,4,2,0
31,Bruja,5,5,0,0
31,Heroe,4,3,1,0
31,Bruja,5,6,1,0
31,Heroe,2,1,2,0
31,Bruja,6,7,1,0
31,Heroe,1,0,3,0
31,Bruja,7,8,1,0
31,Heroe,0,0,0,0
31,Bruja,8,9,1,0
31,Heroe,0,1,1,0
31,Bruja,9,10,1,0
31,Heroe,1,2,1,0
31,Bruja,10,11,1,0
31,Heroe,2,2,0,0
31,Bruja,11,12,1,0
31,Heroe,4,5,3,0
31,Bruja,12,23,2,0
31,Bruja,23,23,0,1
32,Heroe,5,6,1,0
32,Bruja,0,1,1,0
32,Heroe,4,3,3,0
32,Bruja,1,2,1,0
32,Heroe,1,0,3,0
32,Bruja,2,3,1,0
32,Heroe,0,1,1,0
32,Bruja,3,4,1,0
32,Heroe,1,0,1,0
32,Bruja,4,5,1,0
32,Heroe,2,3,3,0
32,Bruja,5,6,1,0
32,Heroe,3,2,1,0
32,Bruja,6,7,1,0
32,Heroe,1,0,3,0
32,Bruja,7,8,1,0
32,Heroe,0,1,1,0
32,Bruja,8,9,1,0
32,Heroe,1,0,1,0
32,Bruja,9,10,1,0
32,Heroe,0,0,0,0
32,Bruja,10,10,0,0
32,Heroe,1,2,2,0
32,Bruja,10,11,1,0
32,Heroe,2,1,1,0
32,Bruja,11,13,2,0
32,Heroe,1,0,2,0
32,Bruja,13,23,1,0
32,Bruja,23,23,0,1
33,Heroe,7,15,3,0
33,Bruja,0,1,1,0
33,Heroe,9,10,3,0
33,Bruja,1,2,1,0
33,Heroe,15,21,3,0
33,Bruja,2,3,1,0
33,Heroe,20,16,2,0
33,Bruja,3,3,0,0
33,Heroe,21,15,3,0
33,Bruja,3,4,1,0
33,Heroe,38,37,3,0
33,Bruja,4,5,1,0
33,Heroe,18,17,3,0
33,Bruja,5,6,1,0
33,Heroe,17,16,1,0
33,Bruja,6,6,0,0
33,Heroe,6,5,3,0
33,Bruja,6,6,0,0
33,Heroe,5,6,1,0
33,Bruja,6,7,1,0
33,Heroe,16,17,3,0
33,Bruja,7,8,1,0
33,Heroe,17,18,1,0
33,Bruja,8,9,1,0
33,Heroe,18,17,1,0
33,Bruja,9,10,1,0
33,Heroe,16,7,2,0
33,Bruja,10,11,1,0
33,Heroe,7,8,1,0
33,Bruja,11,12,1,0
33,Heroe,7,6,2,0
33,Bruja,12,12,0,0
33,Heroe,6,6,0,0
33,Bruja,12,13,1,0
33,Heroe,6,6,0,0
33,Bruja,13,23,2,0
33,Bruja,23,23,0,1
34,Heroe,6,7,2,0
34,Bruja,0,1,1,0
34,Heroe,15,14,2,0
34,Bruja,1,2,1,0
